variables=t, h
128.835 	33607.216 
129.376 	33944.128 
129.917 	34283.137 
130.458 	34624.248 
131.177 	35081.026 
131.896 	35541.530 
132.616 	36005.769 
133.335 	36473.749 
134.054 	36945.477 
135.249 	37737.468 
136.445 	38539.852 
137.640 	39352.662 
138.835 	40175.926 
140.030 	41009.674 
141.513 	42059.566 
142.997 	43125.726 
144.481 	44208.214 
145.965 	45307.089 
147.449 	46422.413 
148.210 	47001.079 
148.637 	47327.341 
148.890 	47521.102 
149.053 	47646.701 
149.216 	47772.502 
149.380 	47898.504 
149.543 	48024.707 
149.707 	48151.112 
149.870 	48277.718 
150.094 	48451.342 
150.317 	48625.345 
150.541 	48799.726 
150.765 	48974.485 
150.988 	49149.622 
151.704 	49712.617 
152.420 	50279.499 
153.136 	50850.276 
153.851 	51424.956 
154.179 	51689.287 
154.507 	51954.438 
154.834 	52220.410 
155.162 	52487.205 
155.489 	52754.822 
156.133 	53282.936 
156.776 	53814.235 
157.420 	54348.727 
158.064 	54886.417 
158.822 	55524.599 
159.581 	56167.252 
160.340 	56814.388 
161.099 	57466.019 
161.858 	58122.159 
162.974 	59094.870 
164.089 	60077.397 
165.205 	61069.787 
166.320 	62072.088 
167.436 	63084.352 
169.035 	64552.729 
170.633 	66041.844 
172.232 	67551.871 
173.831 	69082.993 
175.430 	70635.405 
177.029 	72209.313 
178.402 	73578.405 
179.776 	74963.660 
181.149 	76365.229 
182.522 	77783.274 
183.895 	79217.962 
185.269 	80669.469 
186.434 	81914.623 
187.599 	83172.140 
188.765 	84442.143 
189.930 	85724.758 
191.096 	87020.118 
192.261 	88328.359 
193.559 	89800.494 
194.857 	91288.984 
196.154 	92794.043 
197.452 	94315.892 
198.750 	95854.765 
200.263 	97670.707 
201.776 	99510.519 
203.289 	101374.621 
204.802 	103263.455 
206.315 	105177.484 
207.828 	107117.194 
209.387 	109143.556 
210.946 	111198.320 
212.505 	113282.100 
214.065 	115395.543 
215.624 	117539.328 
217.183 	119714.170 
218.654 	121794.972 
220.125 	123904.741 
221.596 	126044.172 
223.067 	128213.992 
223.135 	128315.402 
223.203 	128416.879 
223.271 	128518.423 
223.340 	128620.035 
223.408 	128721.713 
223.408 	128721.713 
